Framework name,URL,Package prefixes
Java Standard Library,,java.*
Java extensions,,javax.* jakarta.*
Kotlin Standard Library,,kotlin*
Android,,android.*
Android extensions,,androidx.*
Apache Commons Collections,https://commons.apache.org/proper/commons-collections/,org.apache.commons.collections org.apache.commons.collections4
Apache Commons IO,https://commons.apache.org/proper/commons-io/,org.apache.commons.io
Apache Commons Lang,https://commons.apache.org/proper/commons-lang/,org.apache.commons.lang3
Apache Commons Text,https://commons.apache.org/proper/commons-text/,org.apache.commons.text
Apache HttpComponents,https://hc.apache.org/,org.apache.hc.core5.* org.apache.http
Apache Log4j 2,https://logging.apache.org/log4j/2.0/,org.apache.logging.log4j
Apache Struts,https://struts.apache.org/,org.apache.struts2 org.apache.struts.beanvalidation.validation.interceptor
Apache Velocity,https://velocity.apache.org/,org.apache.velocity.app org.apache.velocity.runtime
Couchbase,https://couchbase.com/,com.couchbase.client.*
FreeMarker,https://freemarker.apache.org/,freemarker.cache freemarker.template
Google Gson,https://github.com/google/gson,com.google.gson
Google Guava,https://guava.dev/,com.google.common.*
Groovy,https://groovy-lang.org/,groovy.lang groovy.text groovy.util org.codehaus.groovy.control
Hibernate,https://hibernate.org/,org.hibernate
Jackson,https://github.com/FasterXML/jackson,com.fasterxml.jackson.*
JBoss Logging,https://github.com/jboss-logging/jboss-logging,org.jboss.logging
Jetty,https://eclipse.dev/jetty/,org.eclipse.jetty.client
jOOQ,https://www.jooq.org/,org.jooq
JSON-java,https://github.com/stleary/JSON-java,org.json
MongoDB,https://www.mongodb.com/,com.mongodb
Netty,https://netty.io/,io.netty.*
OkHttp,https://square.github.io/okhttp/,okhttp3
RabbitMQ,https://www.rabbitmq.com/,com.rabbitmq.client
Retrofit,https://square.github.io/retrofit/,retrofit2
SLF4J,https://www.slf4j.org/,org.slf4j
SnakeYAML,https://github.com/snakeyaml/snakeyaml,org.yaml.snakeyaml
Spring,https://spring.io/,org.springframework.*
Thymeleaf,https://www.thymeleaf.org/,org.thymeleaf
